111,Agricultura
112,Cría y explotación de animales
113,Aprovechamiento forestal
114,"Pesca, caza y captura"
115,Servicios relacionados con las actividades agropecuarias y forestales
211,Extracción de petróleo y gas
212,"Minería de minerales metálicos y no metálicos, excepto petróleo y gas"
213,Servicios relacionados con la minería
221,"Generación, transmisión y distribución de energía eléctrica"
222,Suministro de agua y suministro de gas por ductos al consumidor final
236,Edificación
237,Construcción de obras de ingeniería civil
238,Trabajos especializados para la construcción
311,Industria alimentaria
312,Industria de las bebidas y del tabaco
313,Fabricación de insumos textiles y acabado de textiles
314,"Fabricación de productos textiles, excepto prendas de vestir"
315,Fabricación de prendas de vestir
316,"Curtido y acabado de cuero y piel, y fabricación de productos de cuero, piel y materiales sucedáneos"
321,Industria de la madera
322,Industria del papel
323,Impresión e industrias conexas
324,Fabricación de productos derivados del petróleo y del carbón
325,Industria química
326,Industria del plástico y del hule
327,Fabricación de productos a base de minerales no metálicos
331,Industrias metálicas básicas
332,Fabricación de productos metálicos
333,Fabricación de maquinaria y equipo
334,"Fabricación de equipo de computación, comunicación, medición y de otros equipos, componentes y accesorios electrónicos"
335,"Fabricación de accesorios, aparatos eléctricos y equipo de generación de energía eléctrica"
336,Fabricación de equipo de transporte
337,"Fabricación de muebles, colchones y persianas"
339,Otras industrias manufactureras
431,"Comercio al por mayor de abarrotes, alimentos, bebidas, hielo y tabaco"
461,"Comercio al por menor de abarrotes, alimentos, bebidas, hielo y tabaco"
481,Transporte aéreo
482,Transporte por ferrocarril
483,Transporte por agua
484,Autotransporte de carga
485,"Transporte terrestre de pasajeros, excepto por ferrocarril"
486,Transporte por ductos
487,Transporte turístico
488,Servicios relacionados con el transporte
491,Servicios postales
492,Servicios de mensajería y paquetería
493,Servicios de almacenamiento
511,"Edición de periódicos, revistas, libros, software y otros materiales, y edición de estas publicaciones integrada con la impresión"
512,"Industria fílmica y del video, e industria del sonido"
515,Radio y televisión
517,Telecomunicaciones
518,"Procesamiento electrónico de información, hospedaje y otros servicios relacionados"
519,Otros servicios de información
521,Banca central
522,Instituciones de intermediación crediticia y financiera no bursátil
523,"Actividades bursátiles, cambiarias y de inversión financiera"
524,"Compañías de fianzas, seguros y pensiones"
531,Servicios inmobiliarios
532,Servicios de alquiler de bienes muebles
533,"Servicios de alquiler de marcas registradas, patentes y franquicias"
541,"Servicios profesionales, científicos y técnicos"
551,Corporativos
561,Servicios de apoyo a los negocios
562,"Manejo de residuos y desechos, y servicios de remediación"
611,Servicios educativos
621,Servicios médicos de consulta externa y servicios relacionados
622,Hospitales
623,Residencias de asistencia social y para el cuidado de la salud
624,Otros servicios de asistencia social
711,"Servicios artísticos, culturales y deportivos, y otros servicios relacionados"
712,"Museos, sitios históricos, zoológicos y similares"
713,Servicios de entretenimiento en instalaciones recreativas y otros servicios recreativos
721,Servicios de alojamiento temporal
722,Servicios de preparación de alimentos y bebidas
811,Servicios de reparación y mantenimiento
812,Servicios personales
813,Asociaciones y organizaciones
814,Hogares con empleados domésticos
931,"Actividades legislativas, gubernamentales y de impartición de justicia"